datetime,open,high,low,close,volume,symbol
2022-07-14,144.08,148.95,143.25,148.47,78140700,AAPL
2022-07-15,149.78,150.86,148.2,150.17,76259900,AAPL
2022-07-18,150.74001,151.57001,146.7,147.07001,81420900,AAPL
2022-07-19,147.92,151.23,146.91,151.0,82982400,AAPL
2022-07-20,151.12,153.72,150.37,153.03999,64823400,AAPL
2022-07-21,154.5,155.57001,151.94,155.35001,65086600,AAPL
2022-07-22,155.39,156.28,153.41,154.09,66675400,AAPL
2022-07-25,154.00999,155.03999,152.28,152.95,53623900,AAPL
2022-07-26,152.25999,153.09,150.8,151.60001,55138700,AAPL
2022-07-27,152.58,157.33,152.16,156.78999,78620700,AAPL
2022-07-28,156.98,157.64,154.41,157.35001,81378700,AAPL
2022-07-29,161.24001,163.63,159.5,162.50999,101786900,AAPL
2022-08-01,161.00999,163.59,160.89,161.50999,67829400,AAPL
2022-08-02,160.10001,162.41,159.63,160.00999,59907000,AAPL
2022-08-03,160.84,166.59,160.75,166.13,82507500,AAPL
2022-08-04,166.00999,167.19,164.42999,165.81,55474100,AAPL
2022-08-05,163.21001,165.85001,163.0,165.35001,56697000,AAPL
2022-08-08,166.37,167.81,164.2,164.87,60276900,AAPL
2022-08-09,164.02,165.82001,163.25,164.92,63135500,AAPL
2022-08-10,167.67999,169.34,166.89999,169.24001,70170500,AAPL
2022-08-11,170.06,170.99001,168.19,168.49001,57149200,AAPL
2022-08-12,169.82001,172.17,169.39999,172.10001,68039400,AAPL
2022-08-15,171.52,173.39,171.35001,173.19,54091700,AAPL
2022-08-16,172.78,173.71001,171.66,173.03,56377100,AAPL
2022-08-17,172.77,176.14999,172.57001,174.55,79542000,AAPL
2022-08-18,173.75,174.89999,173.12,174.14999,62290100,AAPL
2022-08-19,173.03,173.74001,171.31,171.52,70346300,AAPL
2022-08-22,169.69,169.86,167.14,167.57001,69026800,AAPL
2022-08-23,167.08,168.71001,166.64999,167.23,54147100,AAPL
2022-08-24,167.32001,168.11,166.25,167.53,53841500,AAPL
2022-08-25,168.78,170.14,168.35001,170.03,51218200,AAPL
2022-08-26,170.57001,171.05,163.56,163.62,78961000,AAPL
2022-08-29,161.14999,162.89999,159.82001,161.38,73314000,AAPL
2022-08-30,162.13,162.56,157.72,158.91,77906200,AAPL
2022-08-31,160.31,160.58,157.14,157.22,87991100,AAPL
2022-09-01,156.64,158.42,154.67,157.96001,74229900,AAPL
2022-09-02,159.75,160.36,154.97,155.81,76957800,AAPL
2022-09-06,156.47,157.09,153.69,154.53,73714800,AAPL
2022-09-07,154.82001,156.67,153.61,155.96001,87449600,AAPL
2022-09-08,154.64,156.36,152.67999,154.46001,84923800,AAPL
2022-09-09,155.47,157.82001,154.75,157.37,68028800,AAPL
2022-09-12,159.59,164.25999,159.3,163.42999,104956000,AAPL
2022-09-13,159.89999,160.53999,153.37,153.84,122656600,AAPL
2022-09-14,154.78999,157.10001,153.61,155.31,87965400,AAPL
2022-09-15,154.64999,155.24001,151.38,152.37,90481100,AAPL
2022-09-16,151.21001,151.35001,148.37,150.7,162278800,AAPL
2022-09-19,149.31,154.56,149.10001,154.48,81474200,AAPL
2022-09-20,153.39999,158.08,153.08,156.89999,107689800,AAPL
2022-09-21,157.34,158.74001,153.60001,153.72,101696800,AAPL
2022-09-22,152.38,154.47,150.91,152.74001,86652500,AAPL
2022-09-23,151.19,151.47,148.56,150.42999,96029900,AAPL
2022-09-26,149.66,153.77,149.64,150.77,93339400,AAPL
2022-09-27,152.74001,154.72,149.95,151.75999,84442700,AAPL
2022-09-28,147.64,150.64,144.84,149.84,146691400,AAPL
2022-09-29,146.10001,146.72,140.67999,142.48,128138200,AAPL
2022-09-30,141.28,143.10001,138.0,138.2,124925300,AAPL
2022-10-03,138.21001,143.07001,137.69,142.45,114311700,AAPL
2022-10-04,145.03,146.22,144.25999,146.10001,87830100,AAPL
2022-10-05,144.07001,147.38,143.00999,146.39999,79471000,AAPL
2022-10-06,145.81,147.53999,145.22,145.42999,68402200,AAPL
2022-10-07,142.53999,143.10001,139.45,140.09,85925600,AAPL
2022-10-10,140.42,141.89,138.57001,140.42,74899000,AAPL
2022-10-11,139.89999,141.35001,138.22,138.98,77033700,AAPL
2022-10-12,139.13,140.36,138.16,138.34,70433700,AAPL
2022-10-13,134.99001,143.59,134.37,142.99001,113224000,AAPL
2022-10-14,144.31,144.52,138.19,138.38,88598000,AAPL
2022-10-17,141.07001,142.89999,140.27,142.41,85250900,AAPL
2022-10-18,145.49001,146.7,140.61,143.75,99136600,AAPL
2022-10-19,141.69,144.95,141.5,143.86,61758300,AAPL
2022-10-20,143.02,145.89,142.64999,143.39,64522000,AAPL
2022-10-21,142.87,147.85001,142.64999,147.27,86548600,AAPL
2022-10-24,147.19,150.23,146.0,149.45,75981900,AAPL
2022-10-25,150.09,152.49001,149.36,152.34,74732300,AAPL
2022-10-26,150.96001,151.99001,148.03999,149.35001,88194300,AAPL
2022-10-27,148.07001,149.05,144.13,144.8,109180200,AAPL
2022-10-28,148.2,157.5,147.82001,155.74001,164762400,AAPL
2022-10-31,153.16,154.24001,151.92,153.34,97943200,AAPL
2022-11-01,155.08,155.45,149.13,150.64999,80379300,AAPL
2022-11-02,148.95,152.17,145.0,145.03,93604600,AAPL
2022-11-03,142.06,142.8,138.75,138.88,97918500,AAPL
2022-11-04,142.09,142.67,134.38,138.38,140814800,AAPL
2022-11-07,137.11,139.14999,135.67,138.92,83374600,AAPL
2022-11-08,140.41,141.42999,137.49001,139.5,89908500,AAPL
2022-11-09,138.5,138.55,134.59,134.87,74917800,AAPL
2022-11-10,141.24001,146.87,139.5,146.87,118854000,AAPL
2022-11-11,145.82001,150.00999,144.37,149.7,93979700,AAPL
2022-11-14,148.97,150.28,147.42999,148.28,73374100,AAPL
2022-11-15,152.22,153.59,148.56,150.03999,89868300,AAPL
2022-11-16,149.13,149.87,147.28999,148.78999,64218300,AAPL
2022-11-17,146.42999,151.48,146.14999,150.72,80389400,AAPL
2022-11-18,152.31,152.7,149.97,151.28999,74829600,AAPL
2022-11-21,150.16,150.37,147.72,148.00999,58724100,AAPL
2022-11-22,148.13,150.42,146.92999,150.17999,51804100,AAPL
2022-11-23,149.45,151.83,149.34,151.07001,58301400,AAPL
2022-11-25,148.31,148.88,147.12,148.11,35195900,AAPL
2022-11-28,145.14,146.64,143.38,144.22,69246000,AAPL
2022-11-29,144.28999,144.81,140.35001,141.17,83763800,AAPL
2022-11-30,141.39999,148.72,140.55,148.03,111380900,AAPL
2022-12-01,148.21001,149.13,146.61,148.31,71250400,AAPL
2022-12-02,145.96001,148.0,145.64999,147.81,65447400,AAPL
2022-12-05,147.77,150.92,145.77,146.63,68826400,AAPL
2022-12-06,147.07001,147.3,141.92,142.91,64727200,AAPL
2022-12-07,142.19,143.37,140.0,140.94,69721100,AAPL
2022-12-08,142.36,143.52,141.10001,142.64999,62128300,AAPL
2022-12-09,142.34,145.57001,140.89999,142.16,76097000,AAPL
2022-12-12,142.7,144.5,141.06,144.49001,70462700,AAPL
2022-12-13,149.5,149.97,144.24001,145.47,93886200,AAPL
2022-12-14,145.35001,146.66,141.16,143.21001,82291200,AAPL
2022-12-15,141.11,141.8,136.03,136.5,98931900,AAPL
2022-12-16,136.69,137.64999,133.73,134.50999,160156900,AAPL
2022-12-19,135.11,135.2,131.32001,132.37,79592600,AAPL
2022-12-20,131.39,133.25,129.89,132.3,77432800,AAPL
2022-12-21,132.98,136.81,132.75,135.45,85928000,AAPL
2022-12-22,134.35001,134.56,130.3,132.23,77852100,AAPL
2022-12-23,130.92,132.42,129.64,131.86,63814900,AAPL
2022-12-27,131.38,131.41,128.72,130.03,69007800,AAPL
2022-12-28,129.67,131.03,125.87,126.04,85438400,AAPL
2022-12-29,127.99,130.48,127.73,129.61,75703700,AAPL
2022-12-30,128.41,129.95,127.43,129.92999,77034200,AAPL
2023-01-03,130.28,130.89999,124.17,125.07,112117500,AAPL
2023-01-04,126.89,128.66,125.08,126.36,89113600,AAPL
2023-01-05,127.13,127.77,124.76,125.02,80962700,AAPL
2023-01-06,126.01,130.28999,124.89,129.62,87754700,AAPL
2023-01-09,130.47,133.41,129.89,130.14999,70790800,AAPL
2023-01-10,130.25999,131.25999,128.12,130.73,63896200,AAPL
2023-01-11,131.25,133.50999,130.46001,133.49001,69458900,AAPL
2023-01-12,133.88,134.25999,131.44,133.41,71379600,AAPL
2023-01-13,132.03,134.92,131.66,134.75999,57809700,AAPL
2023-01-17,134.83,137.28999,134.13,135.94,63646600,AAPL
2023-01-18,136.82001,138.61,135.03,135.21001,69672800,AAPL
2023-01-19,134.08,136.25,133.77,135.27,58280400,AAPL
2023-01-20,135.28,138.02,134.22,137.87,80223600,AAPL
2023-01-23,138.12,143.32001,137.89999,141.11,81760300,AAPL
2023-01-24,140.31,143.16,140.3,142.53,66435100,AAPL
2023-01-25,140.89,142.42999,138.81,141.86,65799300,AAPL
2023-01-26,143.17,144.25,141.89999,143.96001,54105100,AAPL
2023-01-27,143.16,147.23,143.08,145.92999,70555800,AAPL
2023-01-30,144.96001,145.55,142.85001,143.0,64015300,AAPL
2023-01-31,142.7,144.34,142.28,144.28999,65874500,AAPL
2023-02-01,143.97,146.61,141.32001,145.42999,77663600,AAPL
2023-02-02,148.89999,151.17999,148.17,150.82001,118339000,AAPL
2023-02-03,148.03,157.38,147.83,154.5,154357300,AAPL
2023-02-06,152.57001,153.10001,150.78,151.73,69858300,AAPL
2023-02-07,150.64,155.23,150.64,154.64999,83322600,AAPL
2023-02-08,153.88,154.58,151.17,151.92,64120100,AAPL
2023-02-09,153.78,154.33,150.42,150.87,56007100,AAPL
2023-02-10,149.46001,151.34,149.22,151.00999,57450700,AAPL
2023-02-13,150.95,154.25999,150.92,153.85001,62199000,AAPL
2023-02-14,152.12,153.77,150.86,153.2,61707600,AAPL
2023-02-15,153.11,155.5,152.88,155.33,65573800,AAPL
2023-02-16,153.50999,156.33,153.35001,153.71001,68167900,AAPL
2023-02-17,152.35001,153.0,150.85001,152.55,59144100,AAPL
2023-02-21,150.2,151.3,148.41,148.48,58867200,AAPL
2023-02-22,148.87,149.95,147.16,148.91,51011300,AAPL
2023-02-23,150.09,150.34,147.24001,149.39999,48394200,AAPL
2023-02-24,147.11,147.19,145.72,146.71001,55469600,AAPL
2023-02-27,147.71001,149.17,147.45,147.92,44998500,AAPL
2023-02-28,147.05,149.08,146.83,147.41,50547000,AAPL
2023-03-01,146.83,147.23,145.00999,145.31,55479000,AAPL
2023-03-02,144.38,146.71001,143.89999,145.91,52238100,AAPL
2023-03-03,148.03999,151.11,147.33,151.03,70732300,AAPL
2023-03-06,153.78999,156.3,153.46001,153.83,87558000,AAPL
2023-03-07,153.7,154.03,151.13,151.60001,56182000,AAPL
2023-03-08,152.81,153.47,151.83,152.87,47204800,AAPL
2023-03-09,153.56,154.53999,150.23,150.59,53833600,AAPL
2023-03-10,150.21001,150.94,147.61,148.5,68572400,AAPL
2023-03-13,147.81,153.14,147.7,150.47,84457100,AAPL
2023-03-14,151.28,153.39999,150.10001,152.59,73695900,AAPL
2023-03-15,151.19,153.25,149.92,152.99001,77167900,AAPL
2023-03-16,152.16,156.46001,151.64,155.85001,76161100,AAPL
2023-03-17,156.08,156.74001,154.28,155.0,98944600,AAPL
2023-03-20,155.07001,157.82001,154.14999,157.39999,73641400,AAPL
2023-03-21,157.32001,159.39999,156.53999,159.28,73938300,AAPL
2023-03-22,159.3,162.14,157.81,157.83,75701800,AAPL
2023-03-23,158.83,161.55,157.67999,158.92999,67622100,AAPL
2023-03-24,158.86,160.34,157.85001,160.25,59196500,AAPL
2023-03-27,159.94,160.77,157.87,158.28,52390300,AAPL
2023-03-28,157.97,158.49001,155.98,157.64999,45992200,AAPL
2023-03-29,159.37,161.05,159.35001,160.77,51305700,AAPL
2023-03-30,161.53,162.47,161.27,162.36,49501700,AAPL
2023-03-31,162.44,165.0,161.91,164.89999,68749800,AAPL
2023-04-03,164.27,166.28999,164.22,166.17,56976200,AAPL
2023-04-04,166.60001,166.84,165.11,165.63,46278300,AAPL
2023-04-05,164.74001,165.05,161.8,163.75999,51511700,AAPL
2023-04-06,162.42999,164.96001,162.0,164.66,45390100,AAPL
2023-04-10,161.42,162.03,160.08,162.03,47716900,AAPL
2023-04-11,162.35001,162.36,160.50999,160.8,47644200,AAPL
2023-04-12,161.22,162.06,159.78,160.10001,50133100,AAPL
2023-04-13,161.63,165.8,161.42,165.56,68445600,AAPL
2023-04-14,164.59,166.32001,163.82001,165.21001,49386500,AAPL
2023-04-17,165.09,165.39,164.03,165.23,41516200,AAPL
2023-04-18,166.10001,167.41,165.64999,166.47,49923000,AAPL
2023-04-19,165.8,168.16,165.53999,167.63,47720200,AAPL
2023-04-20,166.09,167.87,165.56,166.64999,52456400,AAPL
2023-04-21,165.05,166.45,164.49001,165.02,58337300,AAPL
2023-04-24,165.0,165.60001,163.89,165.33,41949600,AAPL
2023-04-25,165.19,166.31,163.73,163.77,48714100,AAPL
2023-04-26,163.06,165.28,162.8,163.75999,45498800,AAPL
2023-04-27,165.19,168.56,165.19,168.41,64902300,AAPL
2023-04-28,168.49001,169.85001,167.88,169.67999,55209200,AAPL
